Game Identification	Post Numbers of Phase Ending (Leave Blank or Add More Columns As Necessary)										
Number	Day 1	Day 2	Day 3	Day 4	Day 5	Day 6	Day 7	Day 8	Day 9	Day 10	Day 11
1823	1651	2011	2486	2495	-						
1820	1269	1833	2132	2157	2503	2655	-				
1817	833	1184	1496	-							
1814	1071	1589	2112	2549	2773	-					
1812	581	628	762	819	916	940	-				
1811	1596	1819	1904	1972	2058	-					
1809	853	1130	1425	1693	1838	1866	-				
1805	1327	1846	1939	2010	-						
1800	931	1375	1535	-							
1797	378	451	743	855	1020	-					
1796	688	1626	1910	2332	2452	2527	-				
1794	1927	2693	4681	5017	5217	-					
1791	1330	1947	2479	2593	2612	-					
1789	843	1400	1616	1726	1735	-					
1787	692	1612	2255	2410	2513	2659	-				
1786	297	642	759	824	840	1041	1069	-			
1785	1588	2224	2248	2396	-						
1782	1260	1506	1693	1895	2042	2052	-				
1779	987	1086	1149	-							
1777	326	726	783	795	-						
1775	598	1248	1490	1618	1791	1887	1917	-			
1773	506	1824	2121	2157	2349	-					
1772	783	878	918	976	1092	-					
1769	1393	1615	1734	1914	-						
1767	718	826	910	963	-						
1763	524	981	1176	1288	1311	-					
1762	1029	1333	1815	2017	2140	-					
1761	656	948	1096	-							
1758	544	1034	1243	1639	1670	1686?	1744				
1757	166	576	878	1402	1516	1651	-				
1755	870	1266	1784	1959	2261	2285	-				
1752	432	533	-								
1749	968	1230	1409	1776	1918	1933	-				
1747	472	737	1129	1262	1288	-					
1744	1169	1887	2476	2787	-						
1742	1562	1598	1634	1691	-							
1741	888	1090	1150	1175	-						
1740	736	840	1223	1439	-						
1737	946	1134	1182	1242	1344	-					
1735	284	414	564	962	1047	-				
1734	666	873	1274	1430	-						
1733	556	762	927	1039	1064	1117	-				
1728	665	1239	1648	1742	1848	1970	-				
1725	522	605	702	910	1014	-					
1721	1014	1611	1640	-							
1720	609	850	1204	1469	-						
1719	437	917	1216	1479	1512	-					
1716	310	579	753	862	908	-					
1715	461	699	949	-							
1713	309	666	697	762	-						
1711	512	661	-								
1709	506	609	730	783	822	-						
1708	558	947	1018	1076	1186	1217	-
1707	667	1236	1306	1676	1715	-					
1706	381	580	663	672	699	-
1705	547	809	1222	1485	-
1703	336	586	868	-							
1701	972	1318	1483	1546	1659	1672	1683	-			
1700	618	1028	1184	1201	1227	-
1699	736	1849	2919	3295	3419	-					
1698	1023	1648	1925	-							
1697	625	1078	1399	1569	-
1692	1378	1525	2358	2517	2556	2595	-					
1690	464	1324	1459	1638	1761	-
1689	969	1432	1821	1836	-						
1688	418	1425	1523	1861	-						
1687	1506	1940	2415	2564	-						
1685	1302	1489	1976	2735	2877	-					
1682	612	1092	1375	1611	1783	1807	-				
1680	451	615	896	-						
1674	940	1259	1332	1491	1541	1602	-				
1671	216	655	934	1128	-						
1669	607	857	951	989	1011	-					
1668	525	977	1546	1752	-						
1666	771	1246	1653	1920	1936	-					
1662	770	900	991	1020	1059	-					
1660	217	326	657	721	765	-					
1658	809	989	1065	1243	1480	-					
1655	1809	2512	2754	2820	-						
1653	518	891	1088	1168	1376	-					
1652	1061	1338	1505	1690	1708	1727	-					
1651	1279	1635	1903	-							
1648	835	911	1096	-							
1647	654	884	1005	1058	-						
1645	549	899	1058	1401	1580	-					
1642	791	1191	1651	1876	-						
1636	691	1028	1191	1485	1600	-					
1632	1021	1342	1701	1895	1955	1982	-				
1627	449	1244	1560	1862	1942	-					
1625	1203	1387	1527	1643	1705	-					
1623	436	526	646	801	835	-					
1620	540	1080	1328	1381	1461	-					
1618	533	648	762	900	919	-					
1609	2638	3507	3864	4064	4217	4418	-				
1606	515	766	996	1036	1061	1066	-				
1602	448	708	1024	1060	1181	-					
1601	726	missing									
1600	412	707	895	-							
Page 3											
1596	779	1127	1534	1892	1997	2036	-				
1591	1148	1898	2008	2281	-						
1590	172	197	341	625	667	683	-				
1589	285	355	637	713	741	-					
1587	82	219	255	-							
1585	641	965	1353	1397	1457	1482	-					
1584	779	1400	1894	2083	-						
1582	222	455	527	535	591	-					
1579	1365	1407	1599	-							
1575	350	433	632	703	790	814	-				
1574	526	725	1051	1156	1229	1294	-				
1570	425	909	1010	-							
1569	417	684	839	-							
1564	359	456	758	983	-						
1560	771	1083	1388	1397	-						
1559	765	869	1021	1058	-						
1556	450	735	940	983	-						
1553	1089	1273	1427	-							
1544	321	558	670	-							
1543	1117	2523	3270	3403	3868	3922	4072	-			
1541	342	428	460	-							
1540	434	756	879	893	-						
1535	607	797	1144	1293	-						
1532	711	882	1151	1218	-						
1530	404	740	903	-							
1527	431	1033	1161	1227	-						
1521	874	1933	2616	-							
1517	1124	1919	1995	2049	2224	-					
1516	873	1325	1652	1831	-						
1514	757	873	1067	-							
1511	591	1168	1386	1511	-						
1509	793	873	1016	1401	1410	1466	-				
1505	749	921	1101	1154	1362	-					
1501	1011	1276	1469	1584	1618	-					
1499	547	845	1020	1058	-						
1496	651	1082	1109	1266	-						
1494	357	410	591	610	688	712	-				
1493	903	1060	1100	1113	1155	-					
1486	278	662	923	1070	-						
1483	1131	1290	1351	1395	-
1481	622	992	1248	1298	-						
1480	378	791	880	1078	-						
1474	522	750	844	878	917	-						
1472	739	1298	1351	1591	-						
1471	1502	1613	1712	1789	1842	1872	-				
1469	807	1097	1231	-							
1464	248	279	383	402	410	-					
1463	502	715	805	885	921	972	-				
1462	1115	1778	1936	2127	2170	2273	-				
1460	756	1017	1112	1291	1405	1426	-						
1458	236	403	435	744	827	-					
1457	392	431	595	644	-						
1456	328	918	956	1039	1141	1156	-
1454	573	792	1033	1177	1258	1292	-				
1452	488	683	778	883	1104	1162	-				
1449	735	889	1171	1353	1391	1407	1416	-			
1446	362	534	678	691	-						
1445	436	705	984	1174	1278	-					
1444	565	760	876	1046	1176	1261	1318	-
1440	297	700	738	865	988	1014	-				
1439	602	723	828	1007	1047	-					
1433	653	890	1741	1889	-						
1429	605	880	1226	1249	-						
1426	370	492	631	692	-						
1424	608	1173	1463	1637	-						
1422	519	1055	1112	-							
1420	423	1002	1098	1143	-						
1414	602	681	746	767	821	-					
1412	1020	1256	1300	1369	1385	-					
1410	313	599	736	836	845	-					
1408	538	1016	1260	1482	1541	-					
1407	447	727	944	1031	1087	1136	-				
1402	931	1406	1899	1993	-						
1401	536	881	995	-							
1400	470	1118	1316	1384	1781	1830	-				
1390	633	1233	1663	1729	-						
1398	365	593	-								
1394	327	436	579	-							
1393	929	1249	1276	1414	1503	1534	-				
1387	447	498	508	722	729	-					
1385	685	772	834	950	971	1036	-				
1382	359	583	676	-							
1379	453	1136	1402	-							
1376	393	597	707	766	778	-					
1375	398	657	837	1018	1050	1064	-					
1373	524	847	937	-							
1372	125	289	406	435	522	-					
1368	356	550	780	812	835	-					
1365	606	896	944	960	-						
1361	544	628	794	875	-						
1360	46	148	247	-							
1359	178	463	710	756	767	785	-				
1357	201	278	317	-							
1354	157	375	479	547	-						
1352	952	1016	1243	1533	1632	1718	-
1351	472	612	722	751	776	-					
1347	707	1136	1170	1893	2279	2296	-				
1346	513	960	1049	-							
1345	735	852	950	993	-						
1343	262	380	502	682	779	-					
1341	386	462	526	606	743	-					
1340	487	612	860	909	943	-					
1338	544	747	846	976	1075	-					
1337	424	589	688	728	778	-					
1333	703	1214	1281	1676	1779	1794	1855	-			
1332	474	606	723	876	884	914	950	-			
1326	534	947	1090	1365	1442	-					
1323	512	789	909	967	-						
1321	311	603	699	769	813	-					
1318	86	350	370	418	-						
1317	371	670	1020	1055	1076	-					
1315	319	562	771	missing	836	missing	841	843	-		
1312	missing										
1309	4	299	368	-							
1306	missing										
1304	missing	missing	missing	72	130	162	-				
Mini Normal Archives											
1282	missing										
1281	missing										
1278	missing										
1276	712	missing									
1272	520	missing									
1269	349	missing									
1267	364	missing									
1266	1025	missing									
1265	321	493	525	563	-						
1262	743	866	1171	missing							
1258	561	1069	1146	1335	-						
1252	816	1224	1270	1393	missing						
1248	402	532	695	757							
1245	472	948	1063	1270	1272	1391	-				
1241	242	381	489	565	603	-						
1238	375	653	827	1062	missing						
1236	311	480	558	629	662	-					
1234	933	1000	1301	1654	1726	-
1231	152	188	322	332	351	-					
1230	482	618	missing								
1227	193	445	715	814	840	898	946	-			
1221	499	1016	1144	1387	-						
1219	1210	1835	1927	2015	2222	-					
1216	98	220	579	660	702	-
1211	655	918	990	1018	1043	-					
1207	584	663	750	916	1322	-					
1205	595	821	890	-							
1204	531	830	1024	1060	1072	-					
1203	1118	1930	2065	2213	2243	2293	-				
1202	550	734	809	832	-						
1199	207	493	652	743	-						
1195	527	1140	1402	1497	1506	1559	-				
1193	166	418	523	645	706	-					
1190	735	1069	1091	1104	-						
1187	680	885	957	1018	1111	1131	-				
1183	142	349	483	627	676	688	-				
1180	934	1456	1482	-							
1177	603	719	994	1058	1091	-					
1175	932	1034	1067	1112	1199	1210	1244	 -			
1170	598	949	1057	-							
1166	256	369	458	472	-						
1164	239	334	411	-							
1159	316	451	732	758	-
1161	448	565	816	-
1157	253	629	829	934	970	1048	1103	1247	-		
1156	722	802	854	1003	-						
1152	348	476	740	868	931	940	-				
1147	553	704	872	1141	1214	1246	-				
1146	715	980	1027	1145	-
1145	292	389	409	510	547	-					
1142	168	437	533	-							
1140	212	960	1225	1281	1369	-					
1137	621	723	938	1208	-						
1133	315	389	452	476	491	-					
1130	270	319	480	604	684	726	-				
1126	698	1119	1171	1219	1232	-					
1122	759	974	1111	1316	1460	-					
1121	598	706	802	905	-							
1117	409	436	604	654	681	693	729	-				
1114	203	353	405	564	602	-					
1112	145	203	354	368	417	425	-				
1107	173	414	436	519	531	584	-				
1105	341	641	691	-							
1102	743	772	807	837	-						
1101	155	383	600	607	694	711	-				
1098	406	598	623	644	-						
1094	338	566	591	787	878	894	-				
1091	470	685	883	951	970	-					
1086	554	718	856	-							
1084	122	248	317	326	-						
1082	370	507	575	1006	1158	1425	1528	missing			
1079	335	430	549	577	-						
1075	82	517	664	760	770	778	784	825	-		
1074	128	186	241	259	-						
1073	224	349	403	-							
1065	234	281	292	-							
1064	161	393	483	523	551	559	-				
1063	175	290	372	-							
1061	581	721	764	-							
1061	814	1232	1447	1479	1513	-					
1057	308	502	658	887	-						
1053	163	256	480	513	-						
1050	301	338	-								
Page 5 											
1046	321	754	940	1119	1173	-					
1042	419	935	1003	1199	1254	-					
1035	152	302	440	589	-						
1033	291	432	493	-							
1029	230	378	470	494	507	-					
1026	846	878	-								
1021	632	849	864	871	902	962	1003	1044	-		
1019	695	777	833	918	-						
1015	263	441	579	594	650	664	732	-			
1015	651	860	1209	1229	1381	1389	-				
1012	1000	1149	1211	-							
1058	177	489	620	675	686	692	-				
1009	311	429	572	646	685	716	723	-			
1007	361	525	761	842	903?	957	-				
1005	414	705	825	919	935	-					
1003	505	686	754	766	-						
996	534	690	789	866	916	973	988	-			
994	513	585	709	763	916	1019	-				
993	237	324	410	468	-						
992	97	115	239	262	-						
988	418	540	714	-							
985	499	653	813	828	-						
984	299	502	648	772	818	912	-				
977	238	377	398	-							
973	298	432	502	602	629	673	-				
967	272	434	497	583	-						
964	236	396	460	-							
962	360	566	657	674	-						
958	412	437	449	-							
956	388	806	917	-							
955	329	526	652	-							
951	317	780	972	missing							
946	277	495	534	-							
945	158	398	440	610	850	860	-				
944	404	479	593	-							
939	487	774	883	1018	-						
937	360	472	616	663	-						
934	694	996	1211	1420	1460	1508	-				
932	341	571	652	732	862	-					
930	313	557	744	763	783	-					
928	341	369	600	-							
922	602	765	816	911	-						
918	143	274	406	456	-						
916	241	724	876	-							
915	198	278	323	-							
913	425	619	690	-							
911	454	875	1030	1238	-						
909	311	597	694	-							
905	334	513	569	666	-						
903	324	534	582	608	657	667	-				
900	missing										
898	349	534	missing								
895	273	345	509	533	-						
892	672	750	785	837	-						
887	440	619	-								
885	566	missing									
880	405	619	837	-							
879	117	197	missing								
877	251	game drawn									
873	832	1406	1465	1610	1627	missing					
872 400	708	1135	1188	-
868	253	365	476?	585	600	-					
865	613	654	728	-							
863	323	676	735	846	937	-					
859	1015	1562	1797	1846	1871	-					
855	662	846?									
851	444	648	741	-							
850	285	426	549	-							
847	645	1008	1178	1195	-						
845	552	1010	1138?	1284	1316	1327	-				
844	197	297	missing								
168	missing										
167	307	322	-								
842	910	1242	1412	1481	-						
839	338	560	642	682	721	-					
838	342	553	790	1056	-						
166	177	-									
165	139	226	242	-							
836	643	877	1519	1621	-						
164	280	427	-								
835	953	1064	1314	1329	-						
163	797	891	1114	1198	1227	1249	-				
835	80	81	-								
831	432	679	757	785	841	842	-				
162	192	345	-								
831	163	255	306	322	missing	400					
161	142	199	231	-							
829	681	774	846	890	914	-					
829	139	170	210	-							
827	727	948	1077	1109	-						
823	522	816	1003	1095	-						
160	308	423	-								
159	317	317	-								
820	531	697	828	914	1011	-					
818	missing										
816	351	444	499	594	662	685	-				
157	missing										
156	463	549	653	670	-						
155	530	652	863	953	-						
Page 6											
813	609	766	901	1038	1054	1086	-				
154	155	206	-								
153	237	293	-								
152	158	3	-								
811	614	835	929	-							
149	125	197	206	328	-						
807	839	1236	1379	missing							
806	370	538	670	757	778	-					
803	509	768	931	-							
802	232	645	684	697	-						
151	148	157	-								
800	501	944	1087	1163	-						
148	148	219	325	369	429	457	-				
146	216	274	333	337	-						
795	232	265	346	452	491	-					
792	572	1382	1717	1842	1856	-					
147	149	193	-								
787	492	814	1039	1090	-						
145	1097	-									
143	347	599	794	1023	1040	1045	-				
784	182	435	489	597	652	-					
142	217	238	285	-							
781	357	501	646	658	-						
141	200	222	-								
140	137	203	-								
139	165	186	-								
137	110	284	373	430	-						
777	449	694	904	-							
138	78	153	279	-							
136	175	233	239	-							
775	244	300	443	485	-						
135	missing										
773	496	741	-								
134	85	164	-								
771	698	818	981	989	1001	1024	-				
133	166	275	-								
767	375	407	504	644	-						
132	84	114	-								
131	574	918	1164	1238	1272	1357	1391	1420	1449	-	
765	932	1135	1226	-							
762	215	missing									
130	144	174	204	-							
129	588	610	-								
128	192	246	-								
761	310	578	942	1024	-						
127	244	345	-								
125	826	938	962	-							
124	222	538	660	852	-						
758	140	274	408	466	-						
126	407	514	546	593	-						
756	227	285	406	-							
120	193	211	234	256	434	442	500	-			
752	298	missing									
123	341	-									
121	198	495	561	missing							
749	333	765	896	954	-						
748	55	-									
118	424	564	636	-							
747	335	568	695	753	764	-					
119	340	509	560	602	-						
745	420	744	848	-							
117	251	267	-								
114	676	809	930	1006	-						
743	285	397	523	-							
116	40	-									
115	136	234	345	-							
739	506	696	729	826	858	865	-				
738	1254	1411	1774	1797	-						
737	368	750	1125	1238	1304	-					
735	190	383	537	-							
734	346	522	845	1043	-						
113	119	250	-								
730	434	435	533	579	586	-					
110	406	570	620	768	-						
727	464	745	893	956	973	-					
725	933	1054	1164	1209	-						
112	283	379	450	-							
108	408	420	567	596	618	-					
722	647	964	1047	-							
109a	missing										
719	missing										
716	331	396	476	499	-						
107	184	237	-								
714	440	724	749	871	-						
106	298	437	520	554	-						
105	201?										
712	249	521	624	713	-						
103	166	248	-								
102	107	132	-								
101	159	209	-								
100	283	615	660	661	-						
707	562	1052	1089	1187	-						
703	232	492	884	1135	1228	1229	missing				
99	784	813	913	915	-						
98	42	84	102	-							
97	171	355	-								
96	97	118	137	-							
95	24	477	669	753	-						
701	931	998	1098	1109	-						
698	705	851	1061	1170	-						
Page 7											
701 and 698 are kipped as its the same with the last two games in page 6											
691	329	500	682	1053	1069	-					
688	578	700	-								
684	181	348	459	520	555	-					
682	455	751	861	910	935	947	959	-			
680	538	944	1021	-							
677	292	544	602	680	783	-					
675	249	320	426	482	-						
673	232	403	477	535	-						
672	324	734	753	792	832?	missing					
94	250	341	381	-							
669	424	616	812	missing							
667	479	627	680	-							
665	missing										
662	304	396	494	-							
659	362	707	1043	1261	1305	missing					
656	580	787	861	864	918	missing					
92	196	222	-								
91	220	311	346	-							
90	210	359	410	-							
89	57	103	171	178	192	205	211	-			
654	abandoned										
650	488	931	1182	missing							
88	472	760	-								
649	154	183	203	-							
648	229	342	missing								
645	964	1163	1294	-							
642	390	429	467	-							
641	290	416	missing								
87	324	443	463	518	-						
636	437	567	613	621	-						
630	372	1037	1328	-							
85	375	585	missing								
628	244	359	416	487	502	520	-				
83	324	1083	-								
626	412	462	825	-							
82	112	-									
624	373	448	638	697	703?	734	-				
XI	780	1084	1174	1246	-						
10	1516	1529	-								
621	383	666	825	840	-						
618	195	324	390	-							
617	140	358	604	-							
614	420	504	726	-							
611	460	1029	1126	1199	-						
9	421	696	900	954	1016	-					
79	485	598	705	743	767	808	-				
8	578	872	1057	1078	1085	-					
DP15	209	267	336	360							
77	43	93	-								
611a	missing										
608	240	262	293	355	-						
78	462	535	663	-							
607	431	509	606	666	732	-					
604	2	363	500	586	-						
76	592	827	-								
75	15	32	missing								
601	352	482	690	834	891	901	-				
74	437	677	726	787	811	-					
597	129	222	329	394	-						
